"tipo","ano","area_pasto","latitude","longitude","distancia"
degradação moderada,"2011",235.12,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2012",313.79,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2013",343.2,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2014",352.68,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2015",362.78,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2016",394.14,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2017",391.49,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2018",480.44,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2019",547.68,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2020",697.94,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2021",688.63,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2011",3608.85,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2012",3543.2,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2013",3807.19,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2014",4165.45,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2015",4384.26,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2016",4692.99,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2017",5114.94,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2018",5266.59,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2019",5480.45,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2020",5584.28,-7.810290330652856,-72.99136352741054,nenhuma distância
não degradado,"2021",6012.96,-7.810290330652856,-72.99136352741054,nenhuma distância
degradação moderada,"2011",96.83,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2012",104.9,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2013",102.95,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2014",110.65,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2015",110.48,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2016",119.69,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2017",116.95,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2018",123.24,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2019",131.21,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2020",136.17,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
degradação moderada,"2021",142.55,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
não degradado,"2011",1269.81,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
não degradado,"2012",1253.24,-7.810290330652856,-72.99136352741054,"1 quilômetro a partir dos limites da fazenda"
